Postdate,Valdate,Details,Amount,UD1
01-Jan-24,01-Jan-24,REF  000013240101125101000061625342   _7062618827,"4,100.00",000013240101125101000061625342
01-Jan-24,01-Jan-24,REF  100033240101115123000001354622   _4000248641,300.00,100033240101115123000001354622
01-Jan-24,01-Jan-24,REF  100004240101115149110152861379   _4000248644,"5,400.00",100004240101115149110152861379
01-Jan-24,01-Jan-24,REF  000023240101125244002086024514   _4000248645,"3,150.00",000023240101125244002086024514
01-Jan-24,01-Jan-24,REF  100004240101115855110152910309   _8061118839,"25,000.00",100004240101115855110152910309
01-Jan-24,01-Jan-24,REF  100004240101120113110153012007   _4000248646,"30,000.00",100004240101120113110153012007
01-Jan-24,01-Jan-24,REF  100034240101130428363331458307   _0000262661,"500,000.00",100034240101130428363331458307
01-Jan-24,01-Jan-24,REF  000013240101130855000061654309   _4000248648,"30,000.00",000013240101130855000061654309
01-Jan-24,01-Jan-24,REF  100034240101131006622722636712   _0000262661,"145,000.00",100034240101131006622722636712
01-Jan-24,01-Jan-24,REF  000014240101131037214471781312   _4000248649,"5,580.00",000014240101131037214471781312
01-Jan-24,01-Jan-24,REF  000013240101131057000061657516   _4000248647,"30,000.00",000013240101131057000061657516
01-Jan-24,01-Jan-24,REF  000014240101131411289345993076   _8840208891,"100,000.00",000014240101131411289345993076
01-Jan-24,01-Jan-24,REF  000012240101131634294528487000   _4000248650,"19,765.00",000012240101131634294528487000
01-Jan-24,01-Jan-24,REF  100004240101121917110153677014   _0000561142,950.00,100004240101121917110153677014
01-Jan-24,01-Jan-24,REF  000014240101131923235012910568   _4000248651,"6,260.00",000014240101131923235012910568
01-Jan-24,01-Jan-24,REF  100004240101122429110153809790   _4000248652,"5,800.00",100004240101122429110153809790
01-Jan-24,01-Jan-24,REF  100004240101122806110153247390   _1002552950,"30,000.00",100004240101122806110153247390
01-Jan-24,01-Jan-24,REF  000001240101133240911003147287   _0605005596,"20,000.00",000001240101133240911003147287
01-Jan-24,01-Jan-24,REF  000004240101133307253103611968   _1002552986,"40,000.00",000004240101133307253103611968
01-Jan-24,01-Jan-24,REF  100004240101123511110153294330   _4000248653,"2,178.00",100004240101123511110153294330
01-Jan-24,01-Jan-24,REF  100004240101123521110153295447   _1002552954,"30,000.00",100004240101123521110153295447
01-Jan-24,01-Jan-24,REF  100004240101123720110153553170   _1002552947,"30,000.00",100004240101123720110153553170
01-Jan-24,01-Jan-24,REF  100004240101123924110154323437   _0000760034,"8,000.00",100004240101123924110154323437
01-Jan-24,01-Jan-24,REF  000017240101133950988041591815   _4000248654,"4,320.00",000017240101133950988041591815
01-Jan-24,01-Jan-24,REF  000015240101134328865924024720   _0000955002,"4,500.00",000015240101134328865924024720
01-Jan-24,01-Jan-24,REF  000017240101134338942831592783   _4000248655,"6,745.00",000017240101134338942831592783
01-Jan-24,01-Jan-24,REF  000016240101134441000090717894   _4000248656,"3,322.50",000016240101134441000090717894
01-Jan-24,01-Jan-24,REF  000017240101134855951031594023   _4000248659,"8,660.00",000017240101134855951031594023
01-Jan-24,01-Jan-24,REF  000013240101135106000061723409   _7012402300,"25,000.00",000013240101135106000061723409
01-Jan-24,01-Jan-24,REF  100004240101125330110154427603   _0000224017,"500,000.00",100004240101125330110154427603
