postdate,Valdate,Details, Amount , UD1 
01-Nov-24,01-Nov-24,REF 353551796536 & 0000427153-251110,7100.00,353551796536
01-Nov-24,01-Nov-24,REF 462911045384 & 0000223006-251111,4600.00,462911045384
01-Nov-24,01-Nov-24,REF 189226697622 & 0000427164-251112,730.00,189226697622
01-Nov-24,01-Nov-24,REF 636185835496 & 0000223006-251115,7600.00,636185835496
01-Nov-24,01-Nov-24,REF 704090189142 & 0000285473-251117,9100.00,704090189142
01-Nov-24,01-Nov-24,REF 842766697820 & 0000427164-251118,6580.00,842766697820
01-Nov-24,01-Nov-24,REF 377232536926 & 0000224004-235971,6050.00,377232536926
01-Nov-24,01-Nov-24,REF 605912481557 & 0000902004-251121,1600.00,605912481557
01-Nov-24,01-Nov-24,REF 914082131273 & 0000285473-251122,16400.00,914082131273
01-Nov-24,01-Nov-24,REF 250634475333 & 0000285473-251123,9134.00,250634475333
01-Nov-24,01-Nov-24,REF 885183282455 & 0000223006-235972,10100.00,885183282455
01-Nov-24,01-Nov-24,REF 527214947624 & 0000223006-235973,6100.00,527214947624
01-Nov-24,01-Nov-24,REF 076865407891 & 0000223006-235974,19000.00,076865407891
01-Nov-24,01-Nov-24,REF 046042650092 & 0000285473-251124,100200.00,046042650092
01-Nov-24,01-Nov-24,REF 921313137434 & 0000427164-251125,2800.00,921313137434
01-Nov-24,01-Nov-24,REF 279983102163 & 0000427153-251126,10370.00,279983102163
01-Nov-24,01-Nov-24,REF 332801237781 & 0000427164-251127,16000.00,332801237781
01-Nov-24,01-Nov-24,REF 282138484293 & 0000427164-251128,1850.00,282138484293
01-Nov-24,01-Nov-24,REF 739208966312 & 0000427164-251129,15100.00,739208966312
01-Nov-24,01-Nov-24,REF 213986852169 & 0000427153-251130,3820.00,213986852169
01-Nov-24,01-Nov-24,REF 429739723868 & 0000427164-251131,15100.00,429739723868
01-Nov-24,01-Nov-24,REF 759721574608 & 0000427164-251132,38305.00,759721574608
